Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,11414.419921875,11414.419921875,11414.419921875,11414.419921875,11414.419921875,0
2019-01-03,11374.2099609375,11374.2099609375,11374.2099609375,11374.2099609375,11374.2099609375,0
2019-01-04,11374.2099609375,11625.3203125,11373.91015625,11605.580078125,11605.580078125,0
2019-01-07,11556.3603515625,11556.3603515625,11556.3603515625,11556.3603515625,11556.3603515625,0
2019-01-08,11675.6904296875,11675.6904296875,11675.6904296875,11675.6904296875,11675.6904296875,0
2019-01-09,11742.98046875,11742.98046875,11742.98046875,11742.98046875,11742.98046875,0
2019-01-10,11762.1796875,11762.1796875,11762.1796875,11762.1796875,11762.1796875,0
2019-01-11,11762.1796875,11885.580078125,11718.0498046875,11739.33984375,11739.33984375,0
2019-01-14,11628.83984375,11628.83984375,11628.83984375,11628.83984375,11628.83984375,0
2019-01-15,11715.599609375,11715.599609375,11715.599609375,11715.599609375,11715.599609375,0
2019-01-16,11641.2099609375,11641.2099609375,11641.2099609375,11641.2099609375,11641.2099609375,0
2019-01-17,11605.4501953125,11605.4501953125,11605.4501953125,11605.4501953125,11605.4501953125,0
2019-01-18,11605.4501953125,11859.01953125,11605.4501953125,11840.3798828125,11840.3798828125,0
2019-01-21,11840.3798828125,11864.830078125,11809.150390625,11822.91015625,11822.91015625,0
2019-01-22,11716.9697265625,11716.9697265625,11716.9697265625,11716.9697265625,11716.9697265625,0
2019-01-23,11622.990234375,11622.990234375,11622.990234375,11622.990234375,11622.990234375,0
2019-01-24,11622.990234375,11640.4404296875,11550.7900390625,11592.599609375,11592.599609375,0
2019-01-25,11592.599609375,11646.259765625,11562.169921875,11569.5400390625,11569.5400390625,0
2019-01-28,11464.3896484375,11464.3896484375,11464.3896484375,11464.3896484375,11464.3896484375,0
2019-01-29,11601.330078125,11601.330078125,11601.330078125,11601.330078125,11601.330078125,0
2019-01-30,11601.330078125,11833.6103515625,11601.330078125,11780.4501953125,11780.4501953125,0
2019-01-31,11833.26953125,11833.26953125,11833.26953125,11833.26953125,11833.26953125,0
2019-02-01,11833.26953125,11927.990234375,11832.7998046875,11922.7001953125,11922.7001953125,0
2019-02-04,11933.5400390625,11933.5400390625,11933.5400390625,11933.5400390625,11933.5400390625,0
2019-02-05,12182.5498046875,12182.5498046875,12182.5498046875,12182.5498046875,12182.5498046875,0
2019-02-06,12181.5302734375,12181.5302734375,12181.5302734375,12181.5302734375,12181.5302734375,0
2019-02-07,12180.73046875,12206.2998046875,12060.1298828125,12061.4404296875,12061.4404296875,0
2019-02-08,12061.990234375,12084.650390625,11997.419921875,12016.0703125,12016.0703125,0
2019-02-11,12115.48046875,12115.48046875,12115.48046875,12115.48046875,12115.48046875,0
2019-02-12,12121.1904296875,12121.1904296875,12121.1904296875,12121.1904296875,12121.1904296875,0
2019-02-13,12210.66015625,12210.66015625,12210.66015625,12210.66015625,12210.66015625,0
2019-02-14,12176.9599609375,12281.169921875,12176.9599609375,12236.759765625,12236.759765625,0
2019-02-15,12236.759765625,12330.6904296875,12200.7197265625,12293.2001953125,12293.2001953125,0
2019-02-19,12188.91015625,12188.91015625,12188.91015625,12188.91015625,12188.91015625,0
2019-02-20,12278.0595703125,12278.0595703125,12278.0595703125,12278.0595703125,12278.0595703125,0
2019-02-21,12162.4296875,12162.4296875,12162.4296875,12162.4296875,12162.4296875,0
2019-02-22,12162.4296875,12260.76953125,12161.1201171875,12202.7802734375,12202.7802734375,0
2019-02-25,12196.9404296875,12196.9404296875,12196.9404296875,12196.9404296875,12196.9404296875,0
2019-02-26,12154.240234375,12154.240234375,12154.240234375,12154.240234375,12154.240234375,0
2019-02-27,12067.8896484375,12067.8896484375,12067.8896484375,12067.8896484375,12067.8896484375,0
2019-02-28,12039.1904296875,12039.1904296875,12039.1904296875,12039.1904296875,12039.1904296875,0
2019-03-01,12039.1904296875,12108.01953125,12039.1904296875,12058.23046875,12058.23046875,0
2019-03-04,12111.169921875,12111.169921875,12111.169921875,12111.169921875,12111.169921875,0
2019-03-05,12203.26953125,12203.26953125,12203.26953125,12203.26953125,12203.26953125,0
2019-03-06,12217.240234375,12217.240234375,12217.240234375,12217.240234375,12217.240234375,0
2019-03-07,12195.1396484375,12211.9501953125,12102.580078125,12136.3203125,12136.3203125,0
2019-03-08,12136.3203125,12136.3203125,12017.650390625,12077.01953125,12077.01953125,0
2019-03-11,12077.01953125,12193.98046875,12074.0302734375,12101.259765625,12101.259765625,0
2019-03-12,12101.259765625,12164.48046875,12025.2998046875,12156.6201171875,12156.6201171875,0
2019-03-13,12151.3798828125,12191.7001953125,12109.3095703125,12138.580078125,12138.580078125,0
2019-03-14,12132.759765625,12248.3603515625,12130.1201171875,12205.73046875,12205.73046875,0
2019-03-15,12205.73046875,12296.83984375,12205.5498046875,12276.9501953125,12276.9501953125,0
2019-03-18,12279.6396484375,12388.6298828125,12279.6396484375,12382.490234375,12382.490234375,0
2019-03-19,12438.8095703125,12438.8095703125,12438.8095703125,12438.8095703125,12438.8095703125,0
2019-03-20,12438.8095703125,12456.330078125,12382.5400390625,12388.759765625,12388.759765625,0
2019-03-21,12377.990234375,12506.759765625,12377.990234375,12489.7001953125,12489.7001953125,0
2019-03-22,12489.7001953125,12489.7001953125,12204.509765625,12232.4296875,12232.4296875,0
2019-03-25,12232.4296875,12232.4296875,12126.740234375,12192.0498046875,12192.0498046875,0
2019-03-26,12223.4697265625,12223.4697265625,12223.4697265625,12223.4697265625,12223.4697265625,0
2019-03-27,12191.6298828125,12191.6298828125,12191.6298828125,12191.6298828125,12191.6298828125,0
2019-03-28,12183.9501953125,12327.0,12183.9501953125,12273.76953125,12273.76953125,0
2019-03-29,12273.76953125,12363.7099609375,12242.6298828125,12359.330078125,12359.330078125,0
2019-04-01,12420.0498046875,12420.0498046875,12420.0498046875,12420.0498046875,12420.0498046875,0
2019-04-02,12549.48046875,12549.48046875,12549.48046875,12549.48046875,12549.48046875,0
2019-04-03,12582.25,12582.25,12582.25,12582.25,12582.25,0
2019-04-04,12564.7001953125,12567.3095703125,12501.4697265625,12565.900390625,12565.900390625,0
2019-04-05,12565.900390625,12660.7197265625,12558.01953125,12657.0400390625,12657.0400390625,0
2019-04-08,12627.0400390625,12627.0400390625,12627.0400390625,12627.0400390625,12627.0400390625,0
2019-04-09,12612.490234375,12612.490234375,12612.490234375,12612.490234375,12612.490234375,0
2019-04-10,12594.400390625,12594.400390625,12594.400390625,12594.400390625,12594.400390625,0
2019-04-11,12588.8095703125,12588.8095703125,12588.8095703125,12588.8095703125,12588.8095703125,0
2019-04-12,12580.740234375,12652.48046875,12580.48046875,12604.009765625,12604.009765625,0
2019-04-15,12614.33984375,12614.33984375,12614.33984375,12614.33984375,12614.33984375,0
2019-04-16,12679.0595703125,12679.0595703125,12679.0595703125,12679.0595703125,12679.0595703125,0
2019-04-17,12674.3095703125,12674.3095703125,12674.3095703125,12674.3095703125,12674.3095703125,0
2019-04-18,12660.9599609375,12660.9599609375,12660.9599609375,12660.9599609375,12660.9599609375,0
2019-04-23,12762.2802734375,12762.2802734375,12762.2802734375,12762.2802734375,12762.2802734375,0
2019-04-24,12673.830078125,12673.830078125,12673.830078125,12673.830078125,12673.830078125,0
2019-04-25,12608.8603515625,12608.8603515625,12608.8603515625,12608.8603515625,12608.8603515625,0
2019-04-26,12608.8603515625,12615.7998046875,12553.76953125,12596.419921875,12596.419921875,0
2019-04-29,12623.6201171875,12623.6201171875,12623.6201171875,12623.6201171875,12623.6201171875,0
2019-04-30,12579.1201171875,12579.1201171875,12579.1201171875,12579.1201171875,12579.1201171875,0
2019-05-02,12465.0400390625,12465.0400390625,12465.0400390625,12465.0400390625,12465.0400390625,0
2019-05-03,12465.0400390625,12582.1396484375,12465.0400390625,12507.5,12507.5,0
2019-05-06,12507.5,12507.5,12507.5,12507.5,12507.5,0
2019-05-07,12297.5400390625,12297.5400390625,12297.5400390625,12297.5400390625,12297.5400390625,0
2019-05-08,12327.990234375,12327.990234375,12327.990234375,12327.990234375,12327.990234375,0
2019-05-09,12197.0498046875,12197.0498046875,12197.0498046875,12197.0498046875,12197.0498046875,0
2019-05-10,12197.0498046875,12323.849609375,12193.009765625,12231.91015625,12231.91015625,0
2019-05-13,12157.990234375,12157.990234375,12157.990234375,12157.990234375,12157.990234375,0
2019-05-14,12263.9697265625,12263.9697265625,12263.9697265625,12263.9697265625,12263.9697265625,0
2019-05-15,12263.9697265625,12388.419921875,12247.6904296875,12369.1298828125,12369.1298828125,0
2019-05-16,12464.4697265625,12464.4697265625,12464.4697265625,12464.4697265625,12464.4697265625,0
2019-05-17,12464.4697265625,12471.419921875,12393.7802734375,12463.7900390625,12463.7900390625,0
2019-05-20,12386.3701171875,12386.3701171875,12386.3701171875,12386.3701171875,12386.3701171875,0
2019-05-21,12428.0498046875,12428.0498046875,12428.0498046875,12428.0498046875,12428.0498046875,0
2019-05-22,12451.599609375,12451.599609375,12451.599609375,12451.599609375,12451.599609375,0
2019-05-23,12258.669921875,12258.669921875,12258.669921875,12258.669921875,12258.669921875,0
2019-05-24,12258.669921875,12379.6201171875,12258.669921875,12336.650390625,12336.650390625,0
